LAMMPS data file via write_data, version 31 Mar 2017, timestep = 86

501 atoms
1 atom types

0.0000000000000000e+00 2.9000000000000000e+01 xlo xhi
0.0000000000000000e+00 2.9000000000000000e+01 ylo yhi
0.0000000000000000e+00 5.0000000000000000e+01 zlo zhi

Masses

1 107.868

Atoms # full

256 256 1 0.0000000000000000e+00 1.4420451679676118e+01 1.4429129154945167e+01 9.1068757124867989e+00 0 0 0
254 254 1 0.0000000000000000e+00 8.6233626596274640e+00 1.4424731311536423e+01 9.0881453586892054e+00 0 0 0
255 255 1 0.0000000000000000e+00 1.1529161095343067e+01 1.4429129154417192e+01 9.1068757121581463e+00 0 0 0
12 12 1 0.0000000000000000e+00 2.8243467483111626e+00 2.8247262956629609e+00 5.0560549662931233e+00 0 0 0
101 101 1 0.0000000000000000e+00 1.3746579545324982e+00 1.3747744520896041e+00 7.0474580921007810e+00 0 0 0
102 102 1 0.0000000000000000e+00 4.2744914397598954e+00 1.3747744528812635e+00 7.0470373086715732e+00 0 0 0
111 111 1 0.0000000000000000e+00 1.3746786378366898e+00 4.2746467038836711e+00 7.0474285491623361e+00 0 0 0
112 112 1 0.0000000000000000e+00 4.2745120122354585e+00 4.2746905243121409e+00 7.0472171565934794e+00 0 0 0
246 246 1 0.0000000000000000e+00 1.4424849524592139e+01 1.1523330719095011e+01 9.0881453578549305e+00 0 0 0
253 253 1 0.0000000000000000e+00 5.7214419245241288e+00 1.4424084719140376e+01 9.0798085444404766e+00 0 0 0
245 245 1 0.0000000000000000e+00 1.1524763248244845e+01 1.1523330718615156e+01 9.0881453576982665e+00 0 0 0
212 212 1 0.0000000000000000e+00 2.8247570179719097e+00 2.8247124793705876e+00 9.0766320784671723e+00 0 0 0
244 244 1 0.0000000000000000e+00 8.6211107275211916e+00 1.1521078790834883e+01 9.0814695747478478e+00 0 0 0
243 243 1 0.0000000000000000e+00 5.7219528006000644e+00 1.1523239538261947e+01 9.0790534325463543e+00 0 0 0
13 13 1 0.0000000000000000e+00 5.7240063553362237e+00 2.8248955362191182e+00 5.0555436718986977e+00 0 0 0
14 14 1 0.0000000000000000e+00 8.6239935745230518e+00 2.8252555501006609e+00 5.0549570050516719e+00 0 0 0
103 103 1 0.0000000000000000e+00 7.1742926175351087e+00 1.3747744507186914e+00 7.0460794314004964e+00 0 0 0
113 113 1 0.0000000000000000e+00 7.1742633355607293e+00 4.2746409710155397e+00 7.0465588672179322e+00 0 0 0
143 143 1 0.0000000000000000e+00 7.1757385008774000e+00 1.2975046858361390e+01 7.0548574360808836e+00 0 0 0
133 133 1 0.0000000000000000e+00 7.1741005215176257e+00 1.0074068586640690e+01 7.0505267731430949e+00 0 0 0
213 213 1 0.0000000000000000e+00 5.7246876169186720e+00 2.8245839153760226e+00 9.0761886296449994e+00 0 0 0
214 214 1 0.0000000000000000e+00 8.6245082902867072e+00 2.8242160674236949e+00 9.0751982506870270e+00 0 0 0
54 54 1 0.0000000000000000e+00 8.6306403993547889e+00 1.4426448373817404e+01 5.0695389711116245e+00 0 0 0
53 53 1 0.0000000000000000e+00 5.7294813305662498e+00 1.4425255506848854e+01 5.0619945616695663e+00 0 0 0
15 15 1 0.0000000000000000e+00 1.1524465815338177e+01 2.8255704721096477e+00 5.0546543161284880e+00 0 0 0
16 16 1 0.0000000000000000e+00 1.4425146960046694e+01 2.8255704726761413e+00 5.0546543167174613e+00 0 0 0
104 104 1 0.0000000000000000e+00 1.0074347878686414e+01 1.3747744468336005e+00 7.0450109616018555e+00 0 0 0
105 105 1 0.0000000000000000e+00 1.2974806387544158e+01 1.3747744453154924e+00 7.0445668141973323e+00 0 0 0
114 114 1 0.0000000000000000e+00 1.0074314407912118e+01 4.2746847612908718e+00 7.0458601166139729e+00 0 0 0
115 115 1 0.0000000000000000e+00 1.2974806386631409e+01 4.2747406189009727e+00 7.0456040886635467e+00 0 0 0
44 44 1 0.0000000000000000e+00 8.6286477612767438e+00 1.1528615824046845e+01 5.0661861218933284e+00 0 0 0
43 43 1 0.0000000000000000e+00 5.7276414765025354e+00 1.1525708188663286e+01 5.0599483989592065e+00 0 0 0
215 215 1 0.0000000000000000e+00 1.1524605066569711e+01 2.8238887094340703e+00 9.0742333000994027e+00 0 0 0
216 216 1 0.0000000000000000e+00 1.4425007708046151e+01 2.8238887101325090e+00 9.0742333006834954e+00 0 0 0
145 145 1 0.0000000000000000e+00 1.2974806388137813e+01 1.2979489049313639e+01 7.0671388017504206e+00 0 0 0
22 22 1 0.0000000000000000e+00 2.8246089291664527e+00 5.7245769971115976e+00 5.0561331499338138e+00 0 0 0
144 144 1 0.0000000000000000e+00 1.0077976853811686e+01 1.2977944913828997e+01 7.0644434898103148e+00 0 0 0
32 32 1 0.0000000000000000e+00 2.8251391273420032e+00 8.6243467969271173e+00 5.0561301098443012e+00 0 0 0
121 121 1 0.0000000000000000e+00 1.3747224572089911e+00 7.1744800778881759e+00 7.0472171576303779e+00 0 0 0
122 122 1 0.0000000000000000e+00 4.2745534477943234e+00 7.1745215146868082e+00 7.0476456125698981e+00 0 0 0
135 135 1 0.0000000000000000e+00 1.2974806386538759e+01 1.0076715940334791e+01 7.0566867648535894e+00 0 0 0
222 222 1 0.0000000000000000e+00 2.8246110871236825e+00 5.7245791535655322e+00 9.0768054438257035e+00 0 0 0
134 134 1 0.0000000000000000e+00 1.0075078793435155e+01 1.0075706561421084e+01 7.0548574353925320e+00 0 0 0
232 232 1 0.0000000000000000e+00 2.8242169186684838e+00 8.6243863026360721e+00 9.0769529843883454e+00 0 0 0
23 23 1 0.0000000000000000e+00 5.7243787281888263e+00 5.7251071947516845e+00 5.0561301082328285e+00 0 0 0
24 24 1 0.0000000000000000e+00 8.6244274573820032e+00 5.7263272394354576e+00 5.0564461034134593e+00 0 0 0
33 33 1 0.0000000000000000e+00 5.7253117360971579e+00 8.6252798051638990e+00 5.0573169563789335e+00 0 0 0
34 34 1 0.0000000000000000e+00 8.6257401195891763e+00 8.6276095387978504e+00 5.0599483982590252e+00 0 0 0
123 123 1 0.0000000000000000e+00 7.1741872330188396e+00 7.1744180012591068e+00 7.0480448464126892e+00 0 0 0
223 223 1 0.0000000000000000e+00 5.7244182352109485e+00 5.7241849848349045e+00 9.0769529829460929e+00 0 0 0
224 224 1 0.0000000000000000e+00 8.6241085323589921e+00 5.7230651877658314e+00 9.0764740445470391e+00 0 0 0
233 233 1 0.0000000000000000e+00 5.7237651488656258e+00 8.6237332157598807e+00 9.0782749431801477e+00 0 0 0
234 234 1 0.0000000000000000e+00 8.6232714718402868e+00 8.6219208639129246e+00 9.0790534310457325e+00 0 0 0
25 25 1 0.0000000000000000e+00 1.1524672550811307e+01 5.7273677865147672e+00 5.0569011818590077e+00 0 0 0
26 26 1 0.0000000000000000e+00 1.4424940221742368e+01 5.7273677871907012e+00 5.0569011824806882e+00 0 0 0
35 35 1 0.0000000000000000e+00 1.1525287439068364e+01 8.6294493887641366e+00 5.0619945603469683e+00 0 0 0
36 36 1 0.0000000000000000e+00 1.4424325332694170e+01 8.6294493894247974e+00 5.0619945608007280e+00 0 0 0
124 124 1 0.0000000000000000e+00 1.0074326287205794e+01 7.1748288922008916e+00 7.0487987752415284e+00 0 0 0
125 125 1 0.0000000000000000e+00 1.2974806385880925e+01 7.1751488687604246e+00 7.0492461814300746e+00 0 0 0
225 225 1 0.0000000000000000e+00 1.1524401275403497e+01 5.7222376488576661e+00 9.0758558118548791e+00 0 0 0
226 226 1 0.0000000000000000e+00 1.4425211497129451e+01 5.7222376494797995e+00 9.0758558120092694e+00 0 0 0
235 235 1 0.0000000000000000e+00 1.1524116650378895e+01 8.6214099836084852e+00 9.0798085428490776e+00 0 0 0
236 236 1 0.0000000000000000e+00 1.4425496120499991e+01 8.6214099844233303e+00 9.0798085432390199e+00 0 0 0
56 56 1 0.0000000000000000e+00 1.4422531487361848e+01 1.4427049347610740e+01 5.0715714692728060e+00 0 0 0
